"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00043875","38.62935","-122.86646","53.9","2010-01","0","0","0","35","0","0.0","3.05","61",,"16.77","0.0","49.1","54.9","43.4"
"USC00043875","38.62935","-122.86646","53.9","2010-02","0","0","0","35","0","0.0","1.25","71",,"7.54","0.0","51.8","60.2","43.4"
"USC00043875","38.62935","-122.86646","53.9","2010-04",,"0","0","34","0","0.0","1.49","86",,"6.13","0.0","56.0","68.5","43.5"
"USC00043875","38.62935","-122.86646","53.9","2010-05",,"0","0","41","0","0.0","0.89",,,"2.30","0.0",,,"46.1"
"USC00043875","38.62935","-122.86646","53.9","2010-06",,"0","0","48","0","0.0","0.00","98",,"0.00","0.0","70.3","86.6","54.1"
"USC00043875","38.62935","-122.86646","53.9","2010-07",,"0","0","50","0","0.0","0.00","97","5","0.00","0.0","69.5","86.1","53.0"
"USC00043875","38.62935","-122.86646","53.9","2010-08",,"0","0","45","0","0.0","0.00","106","9","0.00","0.0","68.5","84.2","52.7"
"USC00043875","38.62935","-122.86646","53.9","2010-09",,"0","0","43","0","0.0","0.01","104","18","0.01","0.0","69.3","87.8","50.9"
"USC00043875","38.62935","-122.86646","53.9","2010-10",,"0","0","41","0","0.0","2.48","96","140","5.08","0.0","61.6","73.6","49.7"
"USC00043875","38.62935","-122.86646","53.9","2010-11",,"0","0","29","0","0.0","1.25","83","460","3.87","0.0","53.1","64.2","41.9"
"USC00043875","38.62935","-122.86646","53.9","2010-12",,"0","0","31","0","0.0","1.43","67","846","10.79","0.0","50.3","56.5","44.0"
"USC00043875","38.62935","-122.86646","53.9","2011-02",,,,"27",,,,"78",,,,"47.8","59.6","36.0"
"USC00043875","38.62935","-122.86646","53.9","2011-03",,,,"36",,,,"84",,,,"52.5","61.9","43.1"
"USC00043875","38.62935","-122.86646","53.9","2011-04",,,,"33",,,,,,,,,,"44.6"
"USC00043875","38.62935","-122.86646","53.9","2011-05",,,,"39",,,,"93",,,,"61.2","76.4","46.1"
"USC00043875","38.62935","-122.86646","53.9","2011-06",,,,"45",,,,,,,,,,"51.6"
"USC00043875","38.62935","-122.86646","53.9","2011-07",,,,"47",,,,"99","9",,,"68.5","83.5","53.5"
"USC00043875","38.62935","-122.86646","53.9","2011-08",,,,"40",,,"0.00",,,"0.00",,,,"52.0"
"USC00043875","38.62935","-122.86646","53.9","2011-09",,,,"41",,,"0.00","95",,"0.00",,"69.8","87.1","52.4"
"USC00043875","38.62935","-122.86646","53.9","2011-10",,,,"36",,,,"88",,,,"62.6","75.8","49.4"
"USC00043875","38.62935","-122.86646","53.9","2011-11",,,,"31",,,,"77",,,,"51.1","63.3","38.9"
"USC00043875","38.62935","-122.86646","53.9","2011-12",,,,"25",,,,"75",,,,"46.9","61.0","32.8"
"USC00043875","38.62935","-122.86646","53.9","2012-01","0",,,"22",,,,"68",,,,"47.9","60.3","35.6"
"USC00043875","38.62935","-122.86646","53.9","2012-02","0",,,"28",,,,"76",,,,"51.6","63.5","39.8"
"USC00043875","38.62935","-122.86646","53.9","2012-03","0",,,"31",,,,"78",,,,"50.4","61.8","38.9"
"USC00043875","38.62935","-122.86646","53.9","2012-04","25",,,"34",,,,"90",,,,"58.3","70.9","45.6"
"USC00043875","38.62935","-122.86646","53.9","2012-05","58",,,"43",,,"0.13","92",,"0.13",,"64.2","80.5","47.9"
"USC00043875","38.62935","-122.86646","53.9","2012-06","187",,,"43",,,"0.02","104",,"0.02",,"67.8","84.6","51.0"
"USC00043875","38.62935","-122.86646","53.9","2012-07","357",,,"38",,,"0.00","100","1","0.00",,"70.4","87.5","53.3"
"USC00043875","38.62935","-122.86646","53.9","2012-08","506",,,"46",,,"0.00","100","7","0.00",,"69.6","88.0","51.2"
"USC00043875","38.62935","-122.86646","53.9","2017-09",,,,"43",,,"0.00","111",,"0.00",,"71.2","89.7","52.7"
"USC00043875","38.62935","-122.86646","53.9","2017-10",,,,"38",,,"0.30","96",,"0.30",,"63.8","82.5","45.2"
"USC00043875","38.62935","-122.86646","53.9","2017-11",,,,"33",,,"1.77","73",,"7.24",,"54.6","64.4","44.7"
"USC00043875","38.62935","-122.86646","53.9","2018-01","0",,,"33",,,"1.60","73",,"6.40",,"52.2","62.5","41.8"
"USC00043875","38.62935","-122.86646","53.9","2018-05",,,,"44",,,"0.06","99",,"0.11",,"66.3","82.3","50.2"
"USC00043875","38.62935","-122.86646","53.9","2018-06",,,,"44",,,"0.00","99",,"0.00",,"66.6","83.9","49.4"
"USC00043875","38.62935","-122.86646","53.9","2018-08",,,,"48",,,"0.00","103",,"0.00",,"71.0","88.3","53.7"
"USC00043875","38.62935","-122.86646","53.9","2018-10",,,,"45",,,"1.24","92",,"1.34",,"66.5","81.6","51.4"
"USC00043875","38.62935","-122.86646","53.9","2019-02",,,,"29",,,"6.53","60",,"23.52",,"46.7","54.8","38.6"
"USC00043875","38.62935","-122.86646","53.9","2019-03",,,,"37",,,"2.00","77",,"11.69",,"53.4","63.9","42.8"
"USC00043875","38.62935","-122.86646","53.9","2019-04",,,,"44",,,"3.00","98",,"4.07",,"61.5","73.0","49.9"
"USC00043875","38.62935","-122.86646","53.9","2019-05",,,,"40",,,"2.28","87",,"4.72",,"60.1","71.5","48.7"
"USC00043875","38.62935","-122.86646","53.9","2019-07",,,,"50",,,"0.00","98","0","0.00",,"70.4","87.0","53.9"
"USC00043875","38.62935","-122.86646","53.9","2019-08",,,,"51",,,"0.00","102","0","0.00",,"72.5","88.9","56.0"
"USC00043875","38.62935","-122.86646","53.9","2019-09",,,,"40",,,"0.03","103","25","0.03",,"69.8","85.0","54.6"
"USC00043875","38.62935","-122.86646","53.9","2019-10",,,,,,,"0.00",,,"0.00",,,,
"USC00043875","38.62935","-122.86646","53.9","2019-11",,,,"26",,,"0.00","80",,"0.00",,"54.9","68.7","41.2"
"USC00043875","38.62935","-122.86646","53.9","2019-12",,,,"30",,,"4.11","67",,"12.05",,"50.4","57.7","43.2"
"USC00043875","38.62935","-122.86646","53.9","2020-01",,,,,,,"0.62","73",,"2.68",,,"60.0",
"USC00043875","38.62935","-122.86646","53.9","2020-02",,,,"32",,,"0.01","84",,"0.02",,"55.6","71.2","39.9"
"USC00043875","38.62935","-122.86646","53.9","2020-03",,,,"33",,,"0.42","87",,"1.58",,"52.7","64.6","40.9"
"USC00043875","38.62935","-122.86646","53.9","2020-04",,,,"35",,,"0.52","91",,"1.33",,"60.7","73.5","48.0"
"USC00043875","38.62935","-122.86646","53.9","2020-05",,,,"41",,,"0.71","99",,"2.11",,"65.1","79.7","50.5"
"USC00043875","38.62935","-122.86646","53.9","2020-06",,,,"46",,,"0.00","100",,"0.00",,"70.4","85.9","54.9"
"USC00043875","38.62935","-122.86646","53.9","2020-07",,,,"50",,,"0.00","100","1","0.00",,"70.6","86.8","54.3"
