,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
3,617.1956782713086,617.1956782713086,895.1813453536754,885.0,2208.0,3155.6666666666665,1439.4101123595506,1985-04-01
4,637.3,637.3,906.484091824406,1062.0,2259.5,2003.4999999999998,1738.257311320755,1985-05-01
5,448.0,448.0,683.0,736.0,1831.9999999999998,2167.0,1175.0,1985-06-01
6,567.0,567.0,753.0,798.0,1946.0,2212.7857142857138,1375.0,1985-07-01
7,519.5,519.5,739.5000000000001,753.8159851301115,1713.9999999999998,2124.9134241245138,1265.5,1985-08-01
8,547.5,547.5,666.3994875837603,654.53321812596,1521.5,2078.5,953.2485207100592,1985-09-01
9,455.39509306260584,455.39509306260584,615.381257056831,642.1906542056074,1573.931726094003,1966.203826342899,1036.7325842696628,1985-10-01
13,384.0,384.0,600.5,601.5,1559.0,1544.9532062391681,1046.4999999999998,1986-02-01
14,547.0000000000001,547.0000000000001,822.0,822.0,2004.0,2036.0,1441.9999999999998,1986-03-01
15,539.0,539.0,830.0,925.0,2269.0,2019.0,1697.0,1986-04-01
16,462.0,462.0,703.0,721.0,1805.0,1746.9999999999998,1409.0,1986-05-01
17,526.0,526.0,791.0,741.0,1998.8673469387757,2871.0000000000005,1276.0,1986-06-01
18,513.0,513.0,730.3,762.657321500605,1817.2043269230767,2428.255208333333,1248.125,1986-07-01
19,485.0,485.0,676.0,727.0,1680.9999999999998,1960.0000000000002,1244.9999999999998,1986-08-01
20,425.0625306522805,425.0625306522805,588.5,614.898608881755,1442.8571945047,1862.0865853658536,977.5,1986-09-01
21,436.0,436.0,613.0,572.0,1347.0,2001.0740291262139,801.0,1986-10-01
22,449.0,449.0,634.0,746.5,1746.8238950276243,2207.0,1019.2653485952134,1986-11-01
23,548.0,548.0,725.0,923.0,2129.0,2164.9999999999995,1344.0,1986-12-01
25,495.99999999999994,495.99999999999994,736.0,744.0,1961.0,2184.3406223717407,1344.0,1987-02-01
26,414.0,414.0,649.0,614.0,1790.9999999999998,1975.0,1074.0,1987-03-01
27,594.0,594.0,833.0,918.9999999999999,2104.5513176144245,1568.1054817275744,1776.5836177474403,1987-04-01
